,name,description,lat,lng,hostname,metrics,launch_year,country,continent,harvesting_sets,gdcc_member,doi_authority,contact_email,dv_hub_id,about_url,core_trust_seals,board,url
0,Abacus,Open for researchers associated with British Columbia universities to deposit data.,49.259982,-123.250212,abacus.library.ubc.ca,True,2014,Canada,North America,['abacus_open'],0.0,␕,abacus.support@ubc.ca,01893C8A-2503-4E23-A873-59CE9C40D568,,,,https://abacus.library.ubc.ca
1,ACSS Dataverse,"The ACSS Dataverse is an initiative of the Arab Council for the Social Sciences, in collaboration with the Odum Institute for Research in Social Science at the University of North Carolina at Chapel Hill. The ACSS Dataverse contains social science datasets produced in Arab countries, with the goal of making data available for research in the region and preserving data for future generations of researchers. There is no charge for access to datasets in the ACSS Dataverse, although users are requested to register in order to download data. The ACSS Dataverse encourages social scientists who study the Arab region to participate in this initiative by depositing data.",33.899798,35.485184,dataverse.theacss.org,True,2019,Lebanon,Asia,,0.0,10.25825,dataverse@theacss.org,0365C02D-D6BB-4B64-9ED4-7D32F4CDC047,,,,https://dataverse.theacss.org
2,ADA Dataverse,"The Australian Data Archive provides a national service for collecting, preserving, publishing and accessing digital research data.",-35.343784,149.082977,dataverse.ada.edu.au,True,2017,Australia,Australia,,1.0,10.26193,ada@anu.edu.au,04A71002-4002-46E8-8BF6-6D5ABF260D81,https://ada.edu.au,['https://www.coretrustseal.org/wp-content/uploads/2018/02/Australian-Data-Archive.pdf'],https://github.com/orgs/IQSS/projects/17,https://dataverse.ada.edu.au
3,ADP - Slovenian Social Science Data Archives,"Slovenian Social Science Data Archives (ADP) was established in 1997 as an organizational unit of the Social Sciences Research Institute at the Faculty of Social Sciences, University of Ljubljana. It is a national research infrastructure for social sciences, whose main mission is to manage data and data services in order to support research, education, and general well-being.",46.056946,14.505751,dataverse.adp.fdv.uni-lj.si,,2020,Slovenia,Europe,,0.0,10.17898,gregor.zibert@fdv.uni-lj.si,0532DC5E-4A95-4F39-8FA1-879CFF4BF702,,,,https://dataverse.adp.fdv.uni-lj.si
4,Arca Dados,"Arca Dados is Fiocruz's official repository to archive, publish, disseminate, preserve and share digital research data produced by the Fiocruz community or in partnership with other research institutes or bodies, with the objective of promoting new research, ensuring the reproducibility or replicability of existing research, and promoting Open and Citizen Science. Its objective is to stimulate the wide circulation of scientific knowledge, strengthening the institutional commitment to Open Science and the free access of information in health, in addition to providing transparency and fostering collaboration between researchers, educators, academics, managers, graduate students, for the advancement of knowledge and the creation of solutions that meet society's demands. For more information, email dataabertos@fiocruz.br",-22.874936,-43.245379,dadosdepesquisa.fiocruz.br,True,2020,Brazil,South America,,0.0,10.35078,dadosabertos@fiocruz.br,099DB632-D3D8-4AFA-9DC1-17BBEA2FEC23,,,,https://dadosdepesquisa.fiocruz.br
5,ARP,"The repository was originally created as Concorda, an ad-hoc initiative for data exchange during the Covid-19 pandemic by HUN-REN Institute for Computer Science and Control (SZTAKI) and HUN-REN Wigner Research Centre for Physics (WIGNER). Since then, the repository was significantly expanded with additional disk space and other resources donated by SZTAKI and WIGNER institutes, and accepts data from all Hungarian researchers (with some storage constraints). In 2021, the ARP project started to build research data infrastructure for the Hungarian Research Network, and chose it as the main repository component to be integrated, while also significantly expanding its storage capacity. See also: https://researchdata.hu/ https://fairsharing.org/4585 https://www.re3data.org/repository/r3d100014109 https://v2.sherpa.ac.uk/id/repository/10638 https://wigner.hu/ https://sztaki.hu/",47.47834443,19.05210423,repo.researchdata.hu,True,2020,Hungary,Europe,,0.0,,support@researchdata.hu,0C135F45-4761-4DA4-8A82-6DFA123516B2,,,,https://repo.researchdata.hu
6,ASU Library Research Data Repository,"ASU Library's research data repository (powered by Harvard’s Dataverse software) helps ASU affiliated researchers share, store, preserve, cite, explore, and make research data accessible and discoverable. Dataverse is a dedicated research data management service platform that serves in the publication and reuse phase of the research data lifecycle and works in concert with the ASU Digital Repository ecosystem to present a more complete picture of ASU’s scholarly activities.",33.425437,-111.928163,dataverse.asu.edu,True,2020,USA,North America,,1.0,10.48349,dataverse@asu.edu,0C38969F-3860-4C47-AADE-5F5BD5783AFC,,,https://github.com/orgs/IQSS/projects/30,https://dataverse.asu.edu
7,AUSSDA Dataverse,"AUSSDA - The Austrian Social Science Data Archive makes social science data accessible, creating opportunities for research and data reuse, benefitting science and society. AUSSDA serves as the Austrian representative in the Consortium of European Social Science Data Archives (CESSDA ERIC).",48.210033,16.363449,data.aussda.at,True,2017,Austria,Europe,['all_published'],0.0,10.11587,info@aussda.at,0C6FE28C-C948-4E28-B8A6-6C5F44E91F75,http://aussda.at,['https://www.coretrustseal.org/wp-content/uploads/2020/07/AUSSDA-The-Austrian-Social-Science-Data-Archive.pdf'],,https://data.aussda.at
8,awf.rodbuk.pl,,50.07272998,20.00123847,akf.rodbuk.pl,True,2023,Poland,Europe,,0.0,,,0F1E7DA7-DF2B-45A8-8612-CEBE2E145439,,,,https://akf.rodbuk.pl
9,BioData.pt Data Management Portal (DMPortal),"DMPortal is offered by BioData.pt, the Portuguese biological data infrastructure and national node of ELIXIR. The portal aims to support the national life sciences research community by enabling FAIR research practices. DMPortal is open to all life sciences fields, but has traditionally been more focused in supporting research in COVID-19, human health, and plant sciences.",38.736667,-9.138889,dmportal.biodata.pt,True,2020,Portugal,Europe,,0.0,10.34636,,10A83043-FD21-4159-AD0B-CF8A708BFF83,,,,https://dmportal.biodata.pt
